femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
mirugasirisam 1 2 padham,poonarpusham 4 padham,rishabam,kadagam,0,1,0,0,1,0,0,1,1,1,5,0,258910
mirugasirisam 1 2 padham,poosam,rishabam,kadagam,1,1,1,0,1,0,0,1,1,1,7,1,12358910
mirugasirisam 1 2 padham,ayilyam,rishabam,kadagam,0,1,0,0,1,0,0,1,1,1,5,0,258910
mirugasirisam 1 2 padham,magam,rishabam,simmam,1,1,0,0,0,0,1,0,1,1,5,0,127910
mirugasirisam 1 2 padham,pooram,rishabam,simmam,0,1,1,0,0,0,1,0,1,1,5,0,237910
mirugasirisam 1 2 padham,uthiram 1 padham,rishabam,simmam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisam 1 2 padham,uthiram 2 3 4 padham,rishabam,kanni,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisam 1 2 padham,astham,rishabam,kanni,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisam 1 2 padham,chithirai 1 2padham,rishabam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisam 1 2 padham,chithirai 3 4 padham,rishabam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisam 1 2 padham,swathi,rishabam,thualam,1,1,0,1,1,0,0,1,1,1,7,1,12458910
mirugasirisam 1 2 padham,visagam 1 2 3 padham,rishabam,thualam,0,1,0,1,1,0,1,1,1,1,7,1,24578910
mirugasirisam 1 2 padham,visagam 4 padham,rishabam,viruchagam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisam 1 2 padham,anusam,rishabam,viruchagam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
mirugasirisam 1 2 padham,kettai,rishabam,viruchagam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisam 1 2 padham,moolam,rishabam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisam 1 2 padham,pooradam,rishabam,dhanush,0,1,1,1,1,0,1,0,1,1,7,1,23457910
mirugasirisam 1 2 padham,uthiradam 1 padham,rishabam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisam 1 2 padham,uthiradam 2 3 4 padham,rishabam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,thiruvonam,rishabam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,avitam 1 2 padham,rishabam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisam 1 2 padham,avitam 3 4 padam,rishabam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisam 1 2 padham,sathayam,rishabam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,pooratadhi 1 2 3 padham,rishabam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisam 1 2 padham,pooratadhi 4 padham,rishabam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisam 1 2 padham,uthiraithadhi,rishabam,meenam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
mirugasirisam 1 2 padham,revathi,rishabam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisham 3 4 padham,aswini,mithunam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,bharani,mithunam,mesam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
mirugasirisham 3 4 padham,karthigai 1 padham,mithunam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,karthigai 2 3 4 padham,mithunam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,rohini,mithunam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,mirugasirisham 1 2 padham,mithunam,rishabam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
mirugasirisham 3 4 padham,mirugasirisham 3 4 padham,mithunam,mithunam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
mirugasirisham 3 4 padham,thiruvadhirai,mithunam,mithunam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
mirugasirisham 3 4 padham,poonarpusham 1 2 3 padham,mithunam,mithunam,0,1,0,0,1,1,1,0,1,1,6,1,2567910
mirugasirisham 3 4 padham,poonarpusham 4 padham,mithunam,kadagam,0,1,0,0,1,0,0,0,1,1,4,0,25910
mirugasirisham 3 4 padham,poosam,mithunam,kadagam,1,1,1,0,1,0,0,0,1,1,6,1,1235910
mirugasirisham 3 4 padham,ayilyam,mithunam,kadagam,0,1,0,0,1,0,0,0,1,1,4,0,25910
mirugasirisham 3 4 padham,magam,mithunam,simmam,1,1,0,0,0,0,1,0,1,1,5,0,127910
mirugasirisham 3 4 padham,pooram,mithunam,simmam,0,1,1,0,0,0,1,0,1,1,5,0,237910
mirugasirisham 3 4 padham,uthiram 1 padham,mithunam,simmam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisham 3 4 padham,uthiram 2 3 4 padham,mithunam,kanni,1,1,0,1,1,0,1,1,1,1,8,1,124578910
mirugasirisham 3 4 padham,astham,mithunam,kanni,1,1,0,1,1,0,1,1,1,1,8,1,124578910
mirugasirisham 3 4 padham,chithirai 1 2padham,mithunam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisham 3 4 padham,chithirai 3 4 padham,mithunam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisham 3 4 padham,swathi,mithunam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisham 3 4 padham,visagam 1 2 3 padham,mithunam,thualam,0,1,0,1,1,0,1,0,1,1,6,1,2457910
mirugasirisham 3 4 padham,visagam 4 padham,mithunam,viruchagam,0,1,0,1,1,0,1,0,1,1,6,1,2457910
mirugasirisham 3 4 padham,anusam,mithunam,viruchagam,1,1,1,1,1,0,1,0,1,1,8,1,123457910
mirugasirisham 3 4 padham,kettai,mithunam,viruchagam,0,1,0,1,1,0,1,0,1,1,6,1,2457910
mirugasirisham 3 4 padham,moolam,mithunam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,pooradam,mithunam,dhanush,0,1,1,1,1,1,1,0,1,1,8,1,234567910
mirugasirisham 3 4 padham,uthiradam 1 padham,mithunam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
